映画タイトル,感想,評価,泣ける,笑える,勉強,キュキュン,怖い,ワクワク,ハラハラ,わかち書き
聲の形,主人公の成長感激。心動かされる作品。,4,5,4,5,3,1,2,2,主人公 の 成長 感激 。 心 動かす れる 作品 。
ホーンテッドマンション,ディズニーランド行きたくなった。アトラクションのシーンがたくさんあっておもしろかった,4,3,2,1,1,3,5,5,ディズニーランド 行く たい なる た 。 アトラクション の シーン が たくさん ある て おもしろい た
ティファニーで朝食を,オードリーヘップバーンが美人！,3,3,4,2,3,1,3,3,オードリー ヘップバーン が 美人 !
おおかみこどもの雨と雪,同じよう年齢の主人公が子供を育ててすごい。考えさせられる映画。,5,5,3,5,2,2,2,3,同じ よう 年齢 の 主人公 が 子供 を 育てる て すごい 。 考える させる られる 映画 。
ミーガン,AIロボットが意思を持って人をたくさん殺すので怖い。殺し方もかなり残酷でつらい。,3,2,2,4,2,5,3,5,AI ロボット が 意思 を 持つ て 人 を たくさん 殺す の だ 怖い 。 殺す 方 も かなり 残酷 だ つらい 。
THE GREATEST SHOWMAN,音楽最高。いつ見ても泣ける。あっという間に終わる。,5,4,2,4,3,2,5,5,音楽 最高 。 いつ 見る て も 泣ける 。 あっ と いう 間 に 終わる 。
ハイキュー~ゴミ捨て場の決戦~,ハイキュウー好きにはたまらない。アニメーションのクオリティが高すぎる。,5,5,5,4,3,3,5,5,ハイキュウー 好き だ は たまる ない 。 アニメーション の クオリティ が 高い すぎる 。
それいけ！アンパンマン ばいきんまんとえほんのルルン,自分が大人になったことを自覚する。途中で眠くなる。,1,1,2,1,1,1,1,1,自分 が 大人 に なる た こと を 自覚 する 。 途中 で 眠い なる 。
帝一の國,くだらなくて面白かった。キャストがえぐい、目の保養。,3,3,5,3,3,2,3,2,くだる ない て 面白い た 。 キャスト が えぐい 、 目 の 保養 。
愛がなんだ,クズ男にはまる女の子の話。1人1人の心情がかなり細かくくみ取れて人間みを感じていい。,5,4,4,5,5,2,3,4,クズ 男 に はまる 女の子 の 話 。 1人1人 の 心情 が かなり 細かい くみ取れる て 人間 み を 感ずる て いい 。
花束みたいな恋をした,描写が全部リアルで好き。社会人になることによる変化の違い、価値観の違いは大きいのだと思った。,5,5,3,3,5,2,2,4,描写 が 全部 リアル で 好き 。 社会人 に なる こと に よる 変化 の 違い 、 価値観 の 違い は 大きい の だ と 思う た 。
カールじいさんの空飛ぶ家,ラッセルという男の子のせいでカールじいさんに迷惑ばかりかけていてイライラしました。,1,1,1,1,1,1,5,2,ラッセル と いう 男の子 の せい で カール じい さん に 迷惑 ばかり かける て いる て イライラ する ます た 。
アクアマン,世界観が豪華でまあまあ面白かった。海の中の作り方が少しCG感あったけどそれもまた趣があると思った,3,2,2,2,2,1,3,4,世界観 が 豪華 だ まあまあ 面白い た 。 海 の 中 の 作り方 が 少し CG 感 ある た けど それ も また 趣 が ある と 思う た
